"stim_condition","acc","Response","RT","participant","Subject","Correct","Stimulus","Chanel1","Chanel2"
2,0,"0","0.9502762998454273",31,31,0,2,0,1
1,1,"1","0.850685200188309",31,31,1,1,0,0
0,0,"3","0.5169011999387294",31,31,0,0,1,0
2,0,"1","0.6004224999342114",31,31,0,2,0,1
0,1,"0","1.2676683000754565",31,31,1,0,1,0
3,1,"3","0.9844470999669284",31,31,1,3,1,1
0,0,"1","1.05274620000273",31,31,0,0,1,0
1,0,"0","0.7341006998904049",31,31,0,1,0,0
2,0,"3","1.3510791999287903",31,31,0,2,0,1
2,0,"1","0.8858048999682069",31,31,0,2,0,1
1,1,"1","1.1840383000671864",31,31,1,1,0,0
2,0,"0","1.635420500067994",31,31,0,2,0,1
1,0,"0","0.6672133000101894",31,31,0,1,0,0
2,0,"0","0.6506468001753092",31,31,0,2,0,1
3,1,"3","1.6344832999166101",31,31,1,3,1,1
0,0,"1","0.46701419982127845",31,31,0,0,1,0
1,1,"1","0.7172225001268089",31,31,1,1,0,0
1,0,"0","1.6190559000242501",31,31,0,1,0,0
1,1,"1","1.4509868000168353",31,31,1,1,0,0
1,0,"0","0.6339742999989539",31,31,0,1,0,0
0,0,"1","1.617856299970299",31,31,0,0,1,0
2,0,"0","1.6014557001180947",31,31,0,2,0,1
3,1,"3","1.851477300049737",31,31,1,3,1,1
2,0,"1","1.1509670000523329",31,31,0,2,0,1
1,0,"0","1.6517159999348223",31,31,0,1,0,0
2,0,"0","1.918228399939835",31,31,0,2,0,1
1,0,"0","1.8028740000445396",31,31,0,1,0,0
0,0,"3","0.9510796000249684",31,31,0,0,1,0
1,0,"0","1.7513141999952495",31,31,0,1,0,0
1,1,"1","0.6169980999547988",31,31,1,1,0,0
1,1,"1","1.1509700999595225",31,31,1,1,0,0
3,0,"0","1.651170900091529",31,31,0,3,1,1
0,0,"1","0.8841665000654757",31,31,0,0,1,0
3,1,"3","1.434752100147307",31,31,1,3,1,1
3,0,"1","1.9850127000827342",31,31,0,3,1,1
1,0,"0","0.5173734000418335",31,31,0,1,0,0
3,1,"3","0.7840940000023693",31,31,1,3,1,1
1,0,"3","1.367913099937141",31,31,0,1,0,0
2,0,"3","1.9019550001248717",31,31,0,2,0,1
0,0,"3","1.3180064999032766",31,31,0,0,1,0
3,1,"3","0.7005322999320924",31,31,1,3,1,1
0,0,"1","1.2513323999010026",31,31,0,0,1,0
2,0,"3","0.7674539000727236",31,31,0,2,0,1
1,0,"0","1.7349521999713033",31,31,0,1,0,0
3,1,"3","0.5171294999308884",31,31,1,3,1,1
3,0,"2","1.4010601001791656",31,31,0,3,1,1
2,0,"1","1.9015933000482619",31,31,0,2,0,1
3,1,"3","1.0673620000015944",31,31,1,3,1,1
0,0,"3","1.7679795001167804",31,31,0,0,1,0
0,0,"1","0.5006309000309557",31,31,0,0,1,0
1,0,"3","1.3010845999233425",31,31,0,1,0,0
2,0,"0","1.3845033999532461",31,31,0,2,0,1
1,1,"1","0.716976199997589",31,31,1,1,0,0
3,0,"0","0.7684991999994963",31,31,0,3,1,1
0,0,"1","0.5003382998984307",31,31,0,0,1,0
0,1,"0","0.7174319999758154",31,31,1,0,1,0
3,1,"3","1.7349452001508325",31,31,1,3,1,1
0,0,"1","0.9006040999665856",31,31,0,0,1,0
3,1,"3","1.233960699988529",31,31,1,3,1,1
1,0,"0","1.5861506999935955",31,31,0,1,0,0
0,0,"1","0.8174847001209855",31,31,0,0,1,0
2,0,"0","0.6837200000882149",31,31,0,2,0,1
2,0,"1","1.234366200165823",31,31,0,2,0,1
2,0,"3","1.0675406998489052",31,31,0,2,0,1
2,1,"2","1.768223199993372",31,31,1,2,0,1
1,1,"1","1.184180200099945",31,31,1,1,0,0
1,1,"1","0.2520886999554932",31,31,1,1,0,0
3,0,"1","1.684822300216183",31,31,0,3,1,1
0,0,"1","1.9347258999478072",31,31,0,0,1,0
2,0,"3","1.067514199996367",31,31,0,2,0,1
2,0,"0","0.9842771999537945",31,31,0,2,0,1
3,0,"1","0.717238400131464",31,31,0,3,1,1
0,1,"0","0.9841239000670612",31,31,1,0,1,0
2,0,"3","0.7506232000887394",31,31,0,2,0,1
0,0,"3","1.200655800057575",31,31,0,0,1,0
0,1,"0","1.4845971001777798",31,31,1,0,1,0
3,0,"2","1.1840677000582218",31,31,0,3,1,1
2,0,"3","0.702769799856469",31,31,0,2,0,1
1,1,"1","0.4839127000886947",31,31,1,1,0,0
1,0,"0","1.0842055000830442",31,31,0,1,0,0
2,0,"3","1.1344061000272632",31,31,0,2,0,1
3,0,"0","0.9506496998947114",31,31,0,3,1,1
3,0,"2","1.0674382001161575",31,31,0,3,1,1
1,0,"3","1.0339154999237508",31,31,0,1,0,0
1,1,"1","1.6679650999139994",31,31,1,1,0,0
